1,Last crawled,From,to,URL,URL,
2,2025-11-22,https://murabaat.com/mrkz-alaa-al-dyn-al-tkhssy-al-tby,https://twsia.com/aladdin-specialized-medical-center,https://twsia.com/mrkz-alaa-al-dyn-al-tkhssy-al-tby,https://twsia.com/mrkz-alaa-al-dyn-al-tkhssy-al-tby,
3,2025-11-22,https://murabaat.com/al-byrqdar-ltjarh-al-syarat,https://twsia.com/al-byrqdar-cars,https://twsia.com/al-byrqdar-ltjarh-al-syarat,https://twsia.com/al-byrqdar-ltjarh-al-syarat,
4,2025-11-22,https://murabaat.com/baik-bash-hotel-fndq-byk-bash,https://twsia.com/baik-bash-hotel,https://twsia.com/baik-bash-hotel-fndq-byk-bash,https://twsia.com/baik-bash-hotel-fndq-byk-bash,
5,2025-11-22,https://murabaat.com/fndq-qsr-al-shhbndr-al-athry,https://twsia.com/shahbandar-palace-hotel,https://twsia.com/fndq-qsr-al-shhbndr-al-athry,https://twsia.com/fndq-qsr-al-shhbndr-al-athry,
6,2025-11-22,https://murabaat.com/mshfa-al-andls-al-jamay,https://twsia.com/al-andalus-university-hospital,https://twsia.com/mshfa-al-andls-al-jamay,https://twsia.com/mshfa-al-andls-al-jamay,
7,2025-11-22,https://murabaat.com/mjwhrat-nbyl-_-nabils-jewelery,https://twsia.com/jewelry-nbyl-_-nabils-jewelery,https://twsia.com/mjwhrat-nbyl-_-nabils-jewelery,https://twsia.com/mjwhrat-nbyl-_-nabils-jewelery,
8,2025-11-22,https://murabaat.com/shrkh-al-mndyl-llitarat-al-aal-myh,https://twsia.com/al-mandeel-tires-company,https://twsia.com/shrkh-al-mndyl-llitarat-al-aal-myh,https://twsia.com/shrkh-al-mndyl-llitarat-al-aal-myh,
9,2025-11-22,https://murabaat.com/country/jo/city/amman/sub-area/sweifieh,https://twsia.com/country/jo/city/amman/sub-area/sweifieh,,https://twsia.com/country/jo/city/amman/sub-area/sweifieh,
10,2025-11-22,https://murabaat.com/mktb-khlyl-aly-ltjarh-al-syarat,https://twsia.com/khalil-ali-cars-office,https://twsia.com/mktb-khlyl-aly-ltjarh-al-syarat,https://twsia.com/mktb-khlyl-aly-ltjarh-al-syarat,
11,2025-11-22,https://murabaat.com/rwdh-sayd-al-khash,https://twsia.com/saeed-private-kindergarten,https://twsia.com/rwdh-sayd-al-khash,https://twsia.com/rwdh-sayd-al-khash,
